Company Name,Industry,perm_id
Libero Copper & Gold Corp,Metals & Mining,4298041202
Phu Hoa Tan Water Supply JSC,Water Utilities & Services,5001119822
Renxin New Material Co Ltd,Chemicals,5069473009
Arkle Resources PLC,Metals & Mining,4295874937
HealthBeacon,Software & IT Services,5050702340
Fibo Group AS,Restaurants,5046047476
Posten Norge AS,Software & IT Services,4296618436
Metropolitan Expressway Co Ltd,Engineering & Construction Services,5000029423
Tien Li Offshore Wind Technology Co Ltd,Oil & Gas Services,5076165082
Korea Southern Power Co Ltd,Electric Utilities & Power Generators,4296912383
TTS Transport Trade Services SA,Marine Transportation,5000435414
ABAS Protect AB,Asset Management & Custody Activities,5045224297
Indian Bright Steel Co Ltd,Iron & Steel Producers,5000073140
Maple Gold Mines Ltd,Metals & Mining,5001451054
Amarillo Gold Corp,Metals & Mining,4296352310
Intesa Sanpaolo Vita SpA,Commercial Banks,4298459691
Raiffeisenbank as,Software & IT Services,4296715144
XORTX Therapeutics Inc,Metals & Mining,5046316919
Zhejiang Zuch Technology Co Ltd,Electrical & Electronic Equipment,5081466791
Drekkar Kingsway Limited,Software & IT Services,4295926536
Synergie Wellness Products Inc,Chemicals,4295955971
Ultimate Sports Entertainment Inc,Leisure Facilities,4295900204
WW Technology Holdings Ltd,Software & IT Services,5000058394
Automehanika Sarajevo dd u stecaju,Engineering & Construction Services,5000060789
Imaging Canada Liquidating Corp,Internet Media & Services,4295862629
Pucara Gold Ltd,Metals & Mining,5062462904
Brazauro Resources Ulc,Metals & Mining,4296403965
Mobile Infrastructure Corp,Construction Materials,5046438727
Newhaven Hotels Ltd,Hotels & Lodging,4295857996
Rostovtopprom AO,Software & IT Services,5000008353
Eagle Graphite Inc,Metals & Mining,4296098481
Bald Eagle Gold Corp,Metals & Mining,5065320392
Lucic Prigrevica ad Novi Sad,Agricultural Products,5000075198
Igene Biotechnology Inc,Biotechnology & Pharmaceuticals,4295913731
Kaiser Group Holdings Inc,Waste Management,4295913986
Advance Metering Technology Ltd,Electric Utilities & Power Generators,5037652782
Jernhusen AB,Asset Management & Custody Activities,4297020557
Disha Resources Ltd,Asset Management & Custody Activities,4296724742
Gfjord Invest AS,Gas Utilities & Distributors,5050268552
CSK Corp,Industrial Machinery & Goods,4295878060
Brookfield Property Preferred LP,Real Estate,5080515933
Sabine Pass Liquefaction LLC,Internet Media & Services,5028044000
DND Technologies Inc,Asset Management & Custody Activities,4295901801
Adient Global Holdings Ltd,Professional & Commercial Services,5051610100
Xtera Communications Inc,Hardware,4296862601
Pernix Group Inc,Engineering & Construction Services,4295901842
Bacanora Minerals Ltd (Pre-Merger),Metals & Mining,4298112605
Marmagoa Steel Ltd,Iron & Steel Producers,4295872158
Carex Blockchain Platform Inc,Education,4296477127
Merina as v likvidacii,Software & IT Services,4295888223
Geyser Brands Inc,Biotechnology & Pharmaceuticals,5053941019
Natural Dairy (NZ) Holdings Ltd,"Meat, Poultry & Dairy",4295871980
Praetorian Property Inc,Real Estate,5059057296
Tidelands Oil & Gas Corp,Oil & Gas Refining & Marketing,4296474250
Integra Capital Management Ltd,Asset Management & Custody Activities,4296967191
Switch Ltd,Real Estate,5050923457
Western Metals Corp,Medical Equipment & Supplies,4295903770
Mrugesh Trading Ltd,Investment Banking & Brokerage,4297953201
GP Solutions Inc,Software & IT Services,5000613592
Silver Viper Minerals Corp,Metals & Mining,5051787636
Venmax Drugs and Pharmaceuticals Ltd,Biotechnology & Pharmaceuticals,5000041390
Pacific Silk Road Resources Group Inc,Metals & Mining,4298108482
Concord Fund-7 South-East Europe,Real Estate,5051774565
Hinto Energy Inc,Oil & Gas Refining & Marketing,4295988460
Baymount Inc,Casinos & Gaming,4295984079
Sirios Resources Inc,Metals & Mining,4296051698
Rights and Issues Investment Trust PLC,Asset Management & Custody Activities,4295898765
Virtu Financial LLC,Consumer Finance,5042239059
Cat Technologies Ltd,Software & IT Services,4296008195
IFAN Financial Inc,Consumer Finance,5037132611
Vermilion Energy Inc (Pre-Merger),Software & IT Services,4295861272
AgriSolar Solutions Inc,Containers & Packaging,4298008847
Freedom Holdings Inc,Professional & Commercial Services,4296164397
Hoteli Jadran dd,Hotels & Lodging,4297141292
Angiogenex Inc,Biotechnology & Pharmaceuticals,4296037199
Jagson Airlines Ltd,Airlines,4295873716
Green Automotive Co,Multiline and Specialty Retailers & Distributors,5037631975
Trophy Resources Inc,Oil & Gas Exploration & Production,4295902205
Pharmigene Inc,Software & IT Services,5035541654
Dn Tyre & Rubber PLC,Multiline and Specialty Retailers & Distributors,4295917160
Purecycle Technologies Holdings Corp,Software & IT Services,5073619236
Elaf Islamic Bank PSC,Commercial Banks,5000935282
Adriatic Osiguranje dd Sarajevo,Insurance,5000635356
Sever Holding AD,Asset Management & Custody Activities,4296399301
Gazprom Gazoraspredeleniye Vladimir AO,Software & IT Services,4297585829
Platinum Studios Inc,Media & Entertainment,4298010072
Hypersoft Technologies Ltd,Software & IT Services,5050648753
Banks Island Gold Ltd,Metals & Mining,5033562707
Precision Castparts Corp,Industrial Machinery & Goods,4295904757
ANS Industries Ltd,Processed Foods,4296744652
Man Shing Agricultural Holdings Inc,Agricultural Products,4297202014
Phu Nhuan Trading JSC,Agricultural Products,5035304628
Export and Industry Bank Inc,Commercial Banks,4295886341
Cistoca ad Banja Luka,Waste Management,5000642053
Ukrains'ka Avtomobil'na Korporatsiia PrAT,Software & IT Services,5000036271
SpectrumDNA Inc,Consumer Finance,4297761169
Ashika Credit Capital Ltd,Investment Banking & Brokerage,4297995029
Coeur d' Alene Bancorp Inc,Commercial Banks,5000036733
Clearmind Medicine Inc,Biotechnology & Pharmaceuticals,5062459752
Virginia Energy Resources Inc,Metals & Mining,5035494089
Cano Health Inc,Health Care Delivery,5074212669
Advanced Engine Technologies Inc,Industrial Machinery & Goods,4295899407
QNB Finance Ltd,Consumer Finance,5037315730
Advance Gold Corp,Metals & Mining,4297635963
Zhuding International Ltd,Media & Entertainment,4298422216
Anupam Finserv Ltd,Investment Banking & Brokerage,4297742373
Wealth Minerals Ltd (Pre-Reincorporation),Metals & Mining,4295862929
Vintage Energy Ltd,Oil & Gas Exploration & Production,5064692139
Bhanot Construction and Housing Ltd,Engineering & Construction Services,5037951981
Parallel Flight Technologies Inc,Software & IT Services,5071517651
Aeroport Anapa OAO,Engineering & Construction Services,5000005639
First Colombia Gold Corp,Metals & Mining,4295904280
Beryl Securities Ltd,Consumer Finance,4297806160
Holding Coop Yug AD,Asset Management & Custody Activities,4296399249
Masivo Silver Corp,Metals & Mining,5035413347
General Store International Corp,Multiline and Specialty Retailers & Distributors,4296480707
Nanotech Fuel Corp,Oil & Gas Refining & Marketing,4296480749
Saturns Sears Roebuck Accep Corp,Software & IT Services,4296424035
Brandywineglobal Global Income Opportunities Fund Inc,Metals & Mining,5001207501
AgriMinco Corp,Metals & Mining,4298487930
California International Bank,Commercial Banks,4297423422
Response Informatics Ltd,Software & IT Services,5042374447
Global PVQ SE,Solar Technology & Project Developers,5000048419
Bolsa de Corredores Bolsa de Valores en Liquidacion,Non-Alcoholic Beverages,4296372750
Universal Detection Technology,Industrial Machinery & Goods,4295914578
Mutual Federal Bancorp Inc,Commercial Banks,4295899763
Promecap Acquisition Company SAB de CV,Asset Management & Custody Activities,5062459010
Senbo Industries Ltd,Biotechnology & Pharmaceuticals,4296510639
India Lease Development Ltd,Consumer Finance,4296933455
Gymboree Holding Corporation,"Apparel, Accessories & Footwear",5057937280
World Mobile Holdings Inc,Hardware,4297725790
Standard Capital Markets Ltd,Investment Banking & Brokerage,4296848295
Hooxi Network Inc,Biotechnology & Pharmaceuticals,5052794769
Brigadier Gold Ltd,Metals & Mining,4296382304
Hetzer Medical Indonesia Tbk PT,Health Care Distributors,5083369234
China Yibai United Guarantee International Holding Inc,Professional & Commercial Services,4295915586
RMG Ltd,Metals & Mining,4295857744
Sagar Diamonds Ltd,"Apparel, Accessories & Footwear",5057211996
Prospex Energy PLC,Oil & Gas Exploration & Production,4295897380
Eat Well Investment Group Inc,Asset Management & Custody Activities,4297902120
Volcan Holdings Inc,Metals & Mining,4297838008
Biotie Therapies Ltd,Biotechnology & Pharmaceuticals,4295866339
Privredna Banka Sarajevo dd Sarajevo,Commercial Banks,5000635186
Cortelco Systems Puerto Rico Inc,Hardware,4295899909
Panacos Pharmaceuticals Inc,Biotechnology & Pharmaceuticals,4295899236
Endless Solar Corporation Ltd,Solar Technology & Project Developers,5000066672
Empire Bancshares Inc,Commercial Banks,4296362824
Triumph Gold Corp,Metals & Mining,4296213842
Elcid Investments Ltd,Investment Banking & Brokerage,4297931329
Fenix Outdoor AB,Toys & Sporting Goods,4295889900
Cleghorn Minerals Ltd,Asset Management & Custody Activities,5000778867
WW Energy Inc,Oil & Gas Services,4296466394
Invesco Physical Markets PLC,Investment Banking & Brokerage,4298535121
Westamerica Corp,Industrial Machinery & Goods,4296402287
Endeavor Bank,Commercial Banks,5059033764
Vidaroo Corp,Internet Media & Services,4298028172
Regency Fincorp Ltd,Consumer Finance,5044253632
Goldcoin Health Foods Ltd,Processed Foods,4296636308
Cairo Resources Inc,Asset Management & Custody Activities,5035151972
Ardonagh Midco 2 PLC,Asset Management & Custody Activities,5057820864
Canadian Metals Inc,Metals & Mining,5038077561
Spektar Invest ad Paracin,Building Products & Furnishings,5000727821
New Markets Advisory Ltd,Investment Banking & Brokerage,4297916729
Keramia Allatini Real Estate Management & Holding Co SA,Real Estate,4295870648
Uravan Minerals Inc,Metals & Mining,4295924022
Nuoncology Labs Inc,Health Care Delivery,4296489049
Hamlet Pharma AB,Biotechnology & Pharmaceuticals,4298370094
MEDIA GLOBO Corp,Media & Entertainment,4296470974
Earth Life Sciences Inc,Biotechnology & Pharmaceuticals,4296422833
CIL Securities Ltd,Investment Banking & Brokerage,4296822758
Bangladesh Services Ltd,Hotels & Lodging,4296164029
Ushakiran Finance Ltd,Commercial Banks,4296913041
Wally World Media Inc,E-Commerce,5037652930
Allied Copper Corp,Metals & Mining,4296378851
Dynex Energy SA,Oil & Gas Exploration & Production,5038073535
Palayan Resources Inc,Metals & Mining,5043334022
Thermwood Corp,Industrial Machinery & Goods,4295905078
Nw Tech Capital Inc,Asset Management & Custody Activities,4295905262
Wealth Bay SA,Professional & Commercial Services,5000008663
Yekatyerinburgskiy Munitsipal'nyi Bank PAO,Commercial Banks,5000055346
Rose Merc Ltd,Multiline and Specialty Retailers & Distributors,5000097011
Sichuan Rongda Gold Co Ltd,Metals & Mining,5082407595
MM Rubber Company Ltd,Auto Parts,4296134487
Mistango River Resources Inc,Metals & Mining,4295861947
Altiplano Metals Inc,Metals & Mining,5001221795
Fusion Pharm Inc,Medical Equipment & Supplies,4298042088
Voya Infrastructure Industrials and Materials Fund,Real Estate,5000615808
Global Investments Capital Corp,Asset Management & Custody Activities,5056434737
Shreeshay Engineers Ltd,Home Builders,5060004586
Aplicaciones y Tratamientos de Sistemas SA,Software & IT Services,5039636762
Hengyi International Industries Group Inc,Automobiles,5001230422
Remedium Lifecare Ltd,Medical Equipment & Supplies,5001127558
Prolife Industries Ltd,Chemicals,5034751886
American Campus Communities Operating Partnership LP,Oil & Gas Midstream,5000189324
Bank of Akron,Commercial Banks,4296470911
Vikalp Securities Ltd,Investment Banking & Brokerage,5000733282
Musk Metals Corp,Metals & Mining,5046435380
Argos Resources Ltd,Oil & Gas Exploration & Production,5001167686
Star Alliance International Corp,Metals & Mining,5043336495
Vetprodukt ad Prnjavor,"Meat, Poultry & Dairy",5000740570
United Airlines Inc,Airlines,4295903799
Izgradnja dd Brcko,Processed Foods,5000747395
SH Resources and Development Corp,Metals & Mining,4296494729
Aura Resources Inc (Pre-Reincorporation),Metals & Mining,4296292443
Ophir Gold Corp,Metals & Mining,5000269205
Amperico Corp,Industrial Machinery & Goods,5037646478
Tien Giang Packaging JSC,Containers & Packaging,5000674426
Queench Holdings Ltd,Restaurants,4296491158
JLG Group PLC,Consumer Finance,5038863523
WLMG Holding Inc,Media & Entertainment,4298412119
Lefroy Exploration Ltd,Asset Management & Custody Activities,4295858243
Dom Lekarski SA,Software & IT Services,5001436753
Fiat Chrysler Finance Europe SNC,Consumer Finance,4296798395
Farmatsiya OAO,Engineering & Construction Services,5000646814
North American Nickel Inc,Metals & Mining,4296396419
Waste Pro USA Inc,Waste Management,4296113459
Cadence Bancorp LLC,Commercial Banks,5001210825
Veletekstil ad Banja Luka,Multiline and Specialty Retailers & Distributors,5000738574
NCC Finance Ltd,Software & IT Services,4296733308
Eagle Ford Oil & Gas Corp,Oil & Gas Exploration & Production,4296470948
Nuveen Corporate Income 2023 Target Term Fund,Software & IT Services,5065977277
Silk Energy Ltd,Oil & Gas Exploration & Production,4295862151
Kestrel Gold Inc,Metals & Mining,4297654017
Collective Growth Corp,Asset Management & Custody Activities,5073494289
Trans Freight Containers Ltd,Containers & Packaging,4295917814
Tailim Paper Co Ltd,Pulp & Paper Products,4295882132
Orsu Metals Corp,Metals & Mining,4295862135
UrbanGold Minerals Inc,Metals & Mining,5064459697
Drina Osiguranje ad Milici,Insurance,5000734644
Anino International PLC,Oil & Gas Exploration & Production,4297960371
Altamira Gold Corp,Metals & Mining,4296051775
Valley Magnesite Company Ltd,Chemicals,5048740095
Zhejiang FORE Intelligent Technology Co Ltd,Industrial Machinery & Goods,5058593010
Ant Group Co Ltd,Engineering & Construction Services,5000706505
Tecil Chemical and Hydro Power Ltd,Chemicals,4296669100
Prime Insurance Company Ltd,Insurance,4297068666
Compania Argentina de Comodoro Rivadavia Explotacion de Petroleo SAMICI y F,Software & IT Services,5000643601
Leroy Merlin Espana SLU,Software & IT Services,4297388871
Pritchard Equity Ltd,Asset Management & Custody Activities,5000050830
Shivom Investment and Consultancy Ltd,Asset Management & Custody Activities,5000022479
Gala SpA,Asset Management & Custody Activities,4298234059
Korro Bio Inc,Biotechnology & Pharmaceuticals,5069474031
Settle Safe Pty Ltd,Engineering & Construction Services,5000064459
SLS Realty ADSITS,Real Estate,4297907495
Hove A/S,Industrial Machinery & Goods,5059956291
Vertical Capital Income Fund,Asset Management & Custody Activities,5037660823
Hengbo Holdings Co Ltd,Auto Parts,5051786999
Cafe Serendipity Holdings Inc,Restaurants,4298009464
Veteks AD Veles,"Apparel, Accessories & Footwear",5037342693
UCI International Holdings Inc,"Apparel, Accessories & Footwear",5057776952
HRB Floriculture Ltd,Investment Banking & Brokerage,4296747036
Willis-Knighton Medical Center,Medical Equipment & Supplies,5000872261
Impulse Fitness Solutions SA,Leisure Facilities,5080203257
Cuisine Solutions Inc,Processed Foods,4295906094
GMK Kazakhaltyn AO,Software & IT Services,5000891133
Bilal Fibres Ltd,"Apparel, Accessories & Footwear",4296319551
Consecutive Investments & Trading Co Ltd,Asset Management & Custody Activities,5045849929
Lenorca Corporation PCL,Medical Equipment & Supplies,5051769386
Theron Resource Group,Metals & Mining,5000731303
Central Service Corp,Commercial Banks,4296306891
Dynamic Brands Inc,Multiline and Specialty Retailers & Distributors,5046279176
Shui On Development (Holding) Ltd,Real Estate,5034596920
Evergreen-Agra Global Investments Inc,Asset Management & Custody Activities,5059037447
Monitor Ventures Inc,Metals & Mining,4297759106
Victory Resources Corp,Metals & Mining,4296993040
ZIF Herbos Fond dd Mostar,Consumer Finance,5000778854
Blue Eagle Lithium Inc,Metals & Mining,5037844417
First Capital Bancshares Inc,Commercial Banks,4296462448
CEO America Inc,Consumer Finance,4297106343
Colony Capital Inc (Maryland),Asset Management & Custody Activities,5000095921
Wolverine Technologies Corp,Metals & Mining,4297606307
Soul and Vibe Interactive Inc,Software & IT Services,5034748688
Bazna Hemija dd Vitkovici,Auto Parts,5000633854
APT Moto Vox Group Inc,Metals & Mining,5000760209
Fog Cutter Capital Group Inc (Baltimore),Asset Management & Custody Activities,4295908480
DAC Technologies Group International Inc,Aerospace & Defence,4295914837
Alphacom Holdings Inc,Restaurants,5042965069
Public Company Management Corp,Asset Management & Custody Activities,4295908400
Medica AD,"Apparel, Accessories & Footwear",4296399224
Red Tiger Mining Inc,Metals & Mining,4295861968
RR Metalmakers India Ltd,Food Retailers & Distributors,4296751868
Continental Energy Corp,Oil & Gas Exploration & Production,4295861907
Silovye Mashiny PAO,Auto Parts,4295886991
Canadian Silver Hunter Inc,Metals & Mining,5035157173
Obio Technology (Shanghai) Corp Ltd,Hardware,5055463347
American Graphite Technologies Inc,Software & IT Services,5035302162
Lehman Brothers Holdings Inc,Multiline and Specialty Retailers & Distributors,5000005634
Nano One Materials Corp (Pre-Merger),Asset Management & Custody Activities,4296345129
Colossus Minerals Inc,Metals & Mining,4295861752
Banyan Gold Corp,Metals & Mining,5001197810
Bashkirskiye Vtorichnye Metally AO,Software & IT Services,4297953215
FluoroPharma Medical Inc,Medical Equipment & Supplies,4298052415
Diamondhead Casino Corp,Hotels & Lodging,4295913334
Engage Mobility Inc,Advertising & Marketing,5037647393
Kookmin Bank,Commercial Banks,5000076303
Erickson Inc,Software & IT Services,4296108253
Sanmitra Commercial Ltd,Investment Banking & Brokerage,4298373295
Winpar Holdings Ltd,Asset Management & Custody Activities,5000037780
Therma-Med Inc,Medical Equipment & Supplies,5000008439
NuLegacy Gold Corp,Metals & Mining,5000431680
Saville Resources Inc,Metals & Mining,4295918560
Canada Jetlines Ltd,Metals & Mining,5055473987
Vitorog ad Sipovo,Professional & Commercial Services,5000740571
GTFN Holdings Inc,Restaurants,4295914916
Investec Bank (Mauritius) Ltd,Commercial Banks,5000106495
Nilam Resources Inc,Metals & Mining,4297575266
Idarado Mining Co,Metals & Mining,4296480854
Squatex Energy and Ressources Inc,Oil & Gas Exploration & Production,5037336129
Chemomab Therapeutics Ltd,Biotechnology & Pharmaceuticals,5037249677
Fosterville South Exploration Ltd,Metals & Mining,5072823922
CLST Holdings Inc,Electronic Manufacturing Services & Original Design Manufacturing,4295905895
Lightyear Network Solutions Inc,Telecommunication Services,4298009696
CMK Gaming International Inc,Casinos & Gaming,4296069424
SSNB Inc,Software & IT Services,4297629678
CaNickel Mining Ltd,Metals & Mining,4295863111
Wuxi Xinan Technology Co Ltd,Industrial Machinery & Goods,5082117099
IPEVO Co Ltd,Software & IT Services,5035395647
Capfin India Ltd,Investment Banking & Brokerage,4296602157
Gothi Plascon India Ltd,Chemicals,4296756990
Highvista Gold Inc,Metals & Mining,5000717001
LegacyXChange Inc,Software & IT Services,4297746590
VMS Rehab Systems Inc,Software & IT Services,5045515266
AcuCort AB,Biotechnology & Pharmaceuticals,5044363601
Open Text Corp (Pre-Reincorporation),Software & IT Services,5051601966
Compass Gold Corp,Metals & Mining,5064525677
American Video Teleconferencing Corp,Professional & Commercial Services,4295941708
Nikki Global Finance Ltd,Investment Banking & Brokerage,4296026618
Sky Gold Corp,Metals & Mining,4298072481
JM Capital II Corp,Asset Management & Custody Activities,5037344846
Broke Out Inc,Software & IT Services,5045390236
Tata Textile Mills Ltd,"Apparel, Accessories & Footwear",4295916881
Korea No.7 Special Purpose Acquisition Co Ltd,Asset Management & Custody Activities,5060923071
NID Industrial Fund AD Sofia,Real Estate,4296396367
Nexia Health Technologies Inc,Software & IT Services,4297186638
True North Gems Inc,Metals & Mining,4296420986
Ocean Spray Cranberries Inc,Solar Technology & Project Developers,4296420048
Investec Investment Trust Ltd,Asset Management & Custody Activities,4295888640
North Bay Resources Inc,Metals & Mining,5000032354
Ameritech International Corp,Professional & Commercial Services,4296293266
Zeljeznicki Prevoz Crne Gore ad Podgorica,Casinos & Gaming,5000668780
Diamond Industries Ltd,Electrical & Electronic Equipment,4296859100
Creative Vistas Inc,Electrical & Electronic Equipment,4295910158
Garware Synthetics Ltd,"Apparel, Accessories & Footwear",4295973099
Church & Crawford Inc,Telecommunication Services,4296466479
Dios Exploration Inc,Metals & Mining,4296420931
Altan Nevada Minerals Ltd,Metals & Mining,5060594147
Hailiang Group Co Ltd,Industrial Machinery & Goods,4298347335
Newcastle Building Society,Construction Materials,4295897202
Sandy Steele Unlimited Inc,Household & Personal Products,4295955916
Parshwanath Corp Ltd,Home Builders,4298488306
Leather Up Ltd,"Apparel, Accessories & Footwear",4295926303
Invesco Exchange-Traded Fund Trust II,Real Estate,4298421812
Grosvenor Resource Corp,Metals & Mining,4296345154
Dynamic Portfolio Management & Services Ltd,Consumer Finance,4296786232
Nuveen Michigan Quality Income Municipal Fund Inc,Professional & Commercial Services,4295901310
Adaptive Medias Inc,Software & IT Services,4296179344
Glacier Lake Resources Inc,Metals & Mining,4298531267
Invest Capital Investment Bank Ltd,Investment Banking & Brokerage,4298072128
Manitou Gold Inc,Metals & Mining,5000667817
Adamera Minerals Corp,Metals & Mining,5038068908
USData Corp,Software & IT Services,4295908280
Henderson Sunlight Asset Management Ltd,Asset Management & Custody Activities,5000040631
Ambassador Intra Holdings Ltd,"Apparel, Accessories & Footwear",5055418602
Embarr Downs Inc,Software & IT Services,5040255111
Western Atlas Resources Inc,Metals & Mining,4295921465
HI-Tech Winding Systems Ltd,Pulp & Paper Products,4296502449
Filtra Consultants and Engineers Ltd,Engineering & Construction Services,5044177348
Bon Secours Mercy Health Inc,Medical Equipment & Supplies,4296625209
Vascory AG,Asset Management & Custody Activities,5040695843
China Chemical Corp,Chemicals,4298122146
Genelink Inc,Medical Equipment & Supplies,4295915844
Falcon Gold Corp (Pre-Reincorporation),Metals & Mining,4297829155
Gabelli Go Anywhere Trust,Real Estate,5045870097
Harvest Technology PLC,Hardware,5072825994
